Concepto,Unidad,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12
PRODUCCION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        PETROLEO CRUDO,Mbd,1641.514202,1721.767474,1709.954366,1694.374936,1682.542114,1692.131935,1696.555315,1707.656999,1730.346637,1680.752768,1721.728191,1732.24731,1748.840721,1754.622363,1771.341819,1746.743329,1676.61071,1654.733064,1647.332173,1687.866409,1697.837757,1680.210948,1688.845791,1711.492242,1712.650383,1731.804704,1758.926608,1751.265001,1755.117927,1767.527003,1772.336593,1728.773343,1782.402352,1771.125788,1771.410008,1772.710856,1783.022924,1763.607534,1777.266972,1766.812884,1775.345824,1787.224614,1796.506904,1779.753338,1776.757349,1790.763817,1798.17319,1817.446022,1870.246985,1869.243451,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
        GAS NATURAL  (MMpcd),MMpcd,4648.323727,4869.145045,4856.64494,4816.265564,4840.677797,4842.747777,4891.880071,4938.778443,5016.628422,4970.743767,5014.952562,5024.479538,5004.855107,4941.777495,4946.334171,4826.709719,4459.815731,4753.708473,4902.355742,4919.639354,4926.075173,4928.144902,4768.613979,4845.7927,4848.055541,4854.306416,4839.141171,4670.981598,4730.289952,4726.737503,4724.712841,4656.476412,4746.475235,4718.116237,4751.223393,4697.060829,4712.86373,4646.317988,4766.219689,4739.866774,4701.527941,4743.951115,4815.415043,4795.569214,4798.226799,4795.026692,4844.875543,4844.545684,4955.215198,4979.437938,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
        PETROLIFEROS Y GAS LICUADO (1),Mbd,610.66333839361,716.271665,704.459672326915,717.761922458697,753.758542,786.001152,786.042982,809.014795,756.369958,667.231974,689.820462,714.781164,684.380372,575.226748,709.133075,770.742698,778.654857,745.906948,571.10684,661.960809,752.178397,679.926027,609.006954,755.122739,806.489871,813.270517,931.21283,719.157745,787.575498,730.825069,741.637241,790.230204,856.188932,838.163739,844.662885,812.768824,911.022205,968.25817,941.457437,997.149365,932.647616,728.790392,901.14717,909.055236,875.3061,934.875368,1000.578618,883.081482,972.509704,895.940327964218,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
        PETROQUIMICOS (Mt) (2),Mt,593.699697453566,543.209509555728,649.039367905347,550.122774223269,657.52758990502,627.934951161637,637.362086572482,605.715374104372,634.265730290468,587.183761800552,476.630153553732,605.976238616707,625.78450230575,636.117347824331,588.186384440676,568.942028138525,463.182471526362,416.598685781888,450.841074452521,415.589089936721,429.603513094859,457.280135790904,433.931247602039,447.874026837197,426.624532147682,420.620597290427,487.519337138168,474.089714961086,468.100172419459,323.880757367327,423.360315614272,513.843012305326,467.633467186481,528.159245706548,522.263648019007,309.032187595432,339.67728412049,422.424828403477,517.573297813929,448.45455272231,430.212157236858,349.455056829788,472.203057748345,474.941741230286,395.621242176345,464.106201398556,460.088269362123,287.70937437748,481.714823184601,365.499879048162,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
VENTAS INTERNAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        VOLUMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                PETROLIFEROS Y GAS LICUADO,Mbd,1330.57635151224,1403.77003757436,1403.61883733765,1402.13233128315,1392.36138687538,1378.77107375201,1406.21380512944,1388.4384191143,1303.67458039229,1313.49692200619,1297.90248472487,1346.699184447,1279.81800270635,1282.94994272741,1240.66652355526,869.207873515277,875.266166799398,978.62534423684,1009.25930951727,1001.69978259044,1020.78476603406,1072.28768412947,1025.7768331793,1117.55910004689,1003.39847003787,1033.9957988892,1148.46495863509,1088.77039042146,1109.51415816984,1113.18660956423,1113.23877057994,1062.01195728861,1050.51703587161,1060.32880724375,1194.23357769702,1281.20195155549,1096.2265472204,1174.19463680026,1335.37391193201,1371.57623688009,1396.30550842465,1421.86669287455,1410.11844074449,1338.81792980279,1320.21321040566,1323.93152173662,1334.85939020127,1347.33033470474,1272.1641447489,1288.8929557925,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
                PETROQUIMICOS (Mt),Mt,231.922062,227.518773,213.684018,180.976735,202.489598,209.814667,200.02707,200.48934,150.851914,157.845804,164.596454,186.884354,192.301233,174.744137,188.522545,154.6165692,139.7204098,112.077079,115.959652,101.629346,101.5101774,150.61953,160.801276,165.287491,148.437711,146.836727,170.560237,134.449497,114.232678,101.1417998,113.084849,151.2115141,147.3561218,161.3537399,168.9360475,127.399964900015,129.688540199928,149.373675001652,166.248685199936,150.392781600651,117.049567,114.276618600054,151.4092077,154.3983318,137.858580499932,157.351363700576,163.20687600038,113.24932250009,163.016862699846,139.3599772,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
        VALOR (MM$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambiar,MM$,64540.6824661666,63738.1749230631,75328.8304334164,76399.66894652,79529.8763728,69216.04557488,74145.1655453143,69088.9237334698,65003.6590753947,65892.6665945929,62228.2959595849,66212.4672479445,61098.3602254642,53352.42408437,45225.8871087418,25483.3463785281,31069.4000453272,37926.7247707056,43442.4994332549,42343.0711182898,39871.8925611907,42273.4598050856,38694.8828804986,45658.6423738298,43946.7320282446,59680.3460082275,63061.5661816156,55272.4804686154,59652.3710937546,61156.381021631,65013.3977135789,62887.6711371854,60934.6367642709,72470.6549336993,76506.8354131437,77544.3164808927,72341.890436825,77553.4272207926,104335.637583557,106410.140502524,113319.106960409,111999.874223297,113612.014395321,108436.90740976,97664.1575434518,102795.508729331,94946.3090541543,83956.182421575,87957.1951942878,74231.5533952083,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
